"";"Omrade";"Kön";"Ålder";"Sysselsättning";"Utbildningsnivå";"År";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parker...grönområden";"Mångfald.i.bostadsutbudet";"Levandegöra.gemensamma.platser";"Kommunikationer";"Kultur...fritid";"Utbildning";"Omsorg";"Skolan";"Trygghet";"Ekologisk.hållbarhet";"Motsättning.1";"Motsättning.2";"Motsättning.3"
"282";"Vatthagen";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";6;8;9;6;8;8;9;9;5;10;8;9;5;6;9;6;10;9;9;10;8;8;8;9;7;8;8;6;9;10;9;9;10;8;14;15;9;9;15;9;10;10;2;6;7;8;9;9;10;8;3;8;3;11;4;9;6;6;9;3;5;5;5
"283";"Dragonvägen";"Kvinna";"55-64";"Student";"Annan eftergymnasial utbildning";"0-4 år";10;11;10;10;11;10;9;10;4;8;6;10;8;8;9;9;10;10;8;9;8;6;9;10;8;11;11;11;11;11;9;10;10;10;3;4;11;11;4;10;10;10;3;5;9;11;11;9;10;11;8;6;7;6;7;10;10;10;10;6;8;8;8
"284";"Runby";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";10;5;6;11;7;8;9;10;4;7;6;8;9;8;10;9;8;6;10;7;7;7;7;7;7;12;8;13;10;11;8;9;8;10;4;3;11;12;15;13;12;14;5;7;9;8;9;10;10;13;1;2;5;3;1;4;6;7;9;0;10;7;9
"285";"Frestaby";"Man";"55-64";"Har sjuk- eller aktivitetsersättning";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";11;11;4;7;7;9;13;6;5;7;9;11;8;5;11;8;6;8;6;8;13;6;12;12;10;14;6;12;14;11;10;9;14;13;14;5;12;12;6;14;13;12;14;4;12;11;11;11;4;11;9;1;7;9;13;13;14;14;14;2;12;4;12
"286";"Runby";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;14;14;14;14;5;8;6;3;8;9;10;11;7;14;5;6;14;11;14;14;14;14;8;14;14;14;14;14;14;9;14;9;14;6;7;14;14;7;9;14;8;3;9;14;14;14;14;14;14;11;3;5;14;11;14;13;14;13;11;10;8;6
"287";"Vilunda/Korpkulla";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;13;12;14;14;14;14;7;7;7;6;4;8;13;13;14;14;14;14;14;12;14;12;14;11;10;11;12;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;14;14;12;14;12;14;12;13;13;13;13;13;13;13;13;13;13;12;12;8
"288";"Sigma/Apoteksskogen";"Man";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";11;8;5;9;8;10;8;8;5;6;8;5;8;8;10;6;8;8;8;6;9;8;10;10;10;9;6;9;10;10;9;9;10;10;2;4;11;10;3;10;11;10;15;9;6;9;8;9;9;10;2;0;0;0;0;0;0;0;0;0;9;8;9
"289";"Odenslunda";"Kvinna";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";12;8;5;11;7;13;12;8;3;9;12;11;5;6;7;14;13;6;12;12;13;8;10;8;8;14;6;9;10;7;11;14;11;8;2;4;14;12;6;12;14;13;4;7;14;9;14;9;11;12;5;6;7;13;14;12;9;12;13;4;4;5;12
"290";"Södra Prästgårdsmarken";"Kvinna";"55-64";"Har sjuk- eller aktivitetsersättning";"Annan eftergymnasial utbildning";"10 år eller mer";14;10;8;11;7;10;9;11;9;3;8;10;9;2;11;9;10;12;7;7;14;8;11;9;7;14;11;14;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;7;7;7;7;7;7;7;10;3;3;8;10;11;14;14;14;7;12;4;11
"291";"Odenslunda";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";10;10;10;10;7;10;10;10;6;10;10;10;6;9;9;9;5;5;11;10;10;9;9;8;7;11;11;11;11;11;8;8;11;8;14;15;9;9;12;6;9;8;14;6;8;9;9;6;6;9;4;0;0;0;0;0;0;0;0;0;7;8;12
"292";"Hasselgatan";"Kvinna";"25-34";"Tjänstledig eller föräldraledig";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";13;8;8;9;8;8;6;5;4;7;6;9;5;8;7;5;9;8;6;7;13;10;11;6;5;7;7;7;7;7;8;14;9;14;6;6;8;6;11;8;9;14;2;3;8;8;8;7;12;7;7;2;3;5;14;11;11;11;14;1;4;10;10
"293";"Odenslunda";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;9;9;9;7;11;9;7;7;7;11;7;7;7;7;8;10;8;8;7;9;9;7;7;7;11;7;7;7;7;10;8;7;7;12;3;8;7;13;7;9;8;15;7;7;9;9;7;7;7;4;3;0;0;0;0;0;0;0;0;10;10;10
"294";"Folkparksområdet";"Man";"25-34";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;9;10;7;7;8;8;4;9;7;7;8;6;7;7;7;7;7;7;7;9;5;10;7;7;8;9;13;13;8;7;7;7;7;12;14;10;10;10;8;7;7;13;7;7;7;7;7;7;7;4;4;3;4;3;5;4;12;7;4;12;11;8
"295";"Runby Backar/Lövsta";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";9;8;6;8;7;9;8;8;6;7;9;6;8;8;8;9;8;10;8;7;8;8;8;8;6;6;8;9;12;12;8;9;10;8;14;14;11;10;14;8;11;8;14;5;7;9;8;9;8;11;1;2;1;3;1;6;6;5;2;3;9;7;9
"296";"Messingen/Optimus";"Man";"25-34";"Student";"Högskola/universitet";"5-9 år";14;0;0;14;14;0;0;0;14;0;0;14;0;14;14;0;0;0;0;14;0;14;0;0;14;14;0;14;14;14;0;14;0;14;6;1;14;14;7;14;14;0;6;14;14;14;14;14;14;14;12;0;0;0;12;12;12;12;12;14;4;2;2
"297";"Sjukyrkoberget";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;8;9;9;7;9;9;6;6;9;5;8;8;8;13;10;3;5;6;10;11;8;14;6;8;4;12;10;10;10;7;9;8;8;13;14;12;12;4;8;8;6;12;6;8;9;8;8;10;12;11;4;9;1;2;10;7;10;1;5;7;7;2
"298";"Vilunda/Korpkulla";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;11;8;10;10;14;14;4;3;0;8;13;8;8;14;14;9;9;11;12;11;0;14;3;5;14;14;14;14;14;14;14;14;14;6;7;14;10;14;12;14;14;14;11;4;14;14;11;14;14;10;8;1;9;4;12;13;14;11;7;4;4;4
"299";"Hasselbacken";"Man";"55-64";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";11;4;4;11;11;11;11;3;3;3;3;10;3;11;11;7;7;7;7;7;3;11;3;11;11;10;8;9;11;11;11;8;11;10;14;14;9;10;4;5;11;11;13;4;4;11;6;9;8;9;6;11;2;5;3;7;12;8;9;1;4;8;6
"300";"Vilunda/Korpkulla";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;8;5;9;9;9;9;8;5;7;8;8;9;9;7;9;8;8;9;10;9;8;10;6;9;9;6;9;10;10;8;10;10;8;2;15;10;9;14;9;9;9;15;7;7;9;8;7;7;7;6;7;5;11;10;10;11;11;8;8;12;11;10
"301";"Prästgårdsmarken";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";14;8;0;8;8;8;8;8;0;8;5;3;8;8;14;4;2;6;5;14;8;5;14;6;0;14;6;8;6;10;8;8;8;8;13;14;11;6;12;8;10;8;15;8;0;8;8;8;6;8;4;0;5;14;0;10;9;10;9;2;4;4;4
"302";"Norra Bollstanäs";"Kvinna";"55-64";"Långtidssjukskriven (mer än 3 månader)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";12;12;12;12;7;12;8;6;8;12;7;11;8;6;7;7;8;10;9;12;9;8;8;9;6;8;8;9;12;12;11;9;11;11;11;12;12;12;14;7;9;9;14;8;6;8;9;8;9;11;11;7;4;6;3;13;8;13;12;13;8;8;7
"303";"Brunnby-Vik";"Man";"65+";"Pensionär";"Forskarutbildning";"10 år eller mer";8;8;8;10;8;11;8;6;6;10;8;4;9;9;8;8;9;5;6;8;6;6;8;8;8;9;8;8;9;9;8;8;9;8;14;14;9;9;14;6;8;8;14;6;7;9;8;10;10;10;9;7;7;9;6;8;10;10;10;8;7;6;6
"304";"Sigma/Apoteksskogen";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;10;10;11;10;7;10;8;8;8;11;7;9;11;11;11;9;9;11;7;11;8;8;8;11;11;9;11;11;10;9;11;11;10;2;4;11;9;14;11;10;9;2;8;5;10;10;10;10;10;4;8;3;10;9;6;11;11;12;8;11;8;8
"305";"Södra Bollstanäs";"Man";"45-54";"Egen företagare";"Högskola/universitet";"10 år eller mer";0;4;14;10;8;7;8;10;0;14;8;6;8;8;8;0;4;4;10;10;10;6;11;13;5;8;8;8;9;10;3;9;9;8;12;14;9;11;12;4;4;8;14;6;10;8;9;6;8;6;1;2;2;14;1;14;10;10;5;0;2;8;11
"306";"Prästgårdsmarken";"Kvinna";"25-34";"Förvärvsarbetande (anställd)";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";14;1;1;13;10;0;0;0;7;0;0;0;0;0;0;0;11;0;11;0;12;3;12;7;7;14;0;14;7;7;14;14;14;14;6;7;7;7;13;12;7;7;13;7;7;11;7;11;11;11;14;0;0;12;13;14;14;14;14;14;4;12;7
"307";"Smedby 2";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;9;14;10;7;9;10;9;7;7;8;9;11;8;9;8;8;9;7;7;9;9;8;9;7;9;10;10;9;9;8;8;11;7;12;15;8;9;14;8;10;9;2;7;7;10;10;10;10;11;9;6;8;11;10;9;12;9;12;9;11;9;7
"308";"Carlslund/Brunnby Park";"Man";"55-64";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";4;5;6;8;11;7;7;7;7;13;7;7;7;8;7;6;10;6;6;6;7;7;8;7;7;8;7;7;7;7;7;8;7;7;12;13;7;8;13;7;7;7;13;7;11;7;7;8;7;7;0;0;1;0;1;11;1;11;1;0;2;10;4
"309";"Sigma/Apoteksskogen";"Kvinna";"35-44";"Övrigt";"Högskola/universitet";"0-4 år";12;13;14;12;9;14;14;10;11;13;6;13;9;14;14;12;13;9;13;14;13;14;13;14;14;13;11;14;14;14;13;14;12;12;6;5;14;14;6;14;11;11;6;11;14;13;11;12;14;11;10;14;13;13;14;13;13;10;12;10;5;2;11
"310";"Vilunda/Korpkulla";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"311";"Vilunda/Korpkulla";"Kvinna";"55-64";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"312";"Norra Bollstanäs";"Man";"45-54";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";8;8;8;8;8;9;8;8;6;8;7;7;7;7;7;8;8;8;8;8;8;6;8;6;8;8;8;6;9;9;6;8;8;8;12;12;9;9;14;7;8;8;13;7;7;7;7;7;7;7;1;3;1;1;1;3;1;3;1;1;6;6;9
"313";"Frestaby";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";12;8;5;11;12;13;12;3;6;2;6;9;8;6;9;8;11;10;9;13;12;5;14;9;11;13;5;14;13;13;8;9;8;10;11;12;14;14;5;8;11;9;12;4;4;8;8;9;13;5;2;1;3;8;4;14;9;13;4;2;4;11;10
"314";"Skälby";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;10;7;7;7;14;14;7;7;7;11;10;10;6;11;10;8;8;9;14;8;8;10;8;10;14;9;14;14;14;13;11;13;11;6;7;14;14;7;14;14;14;6;11;7;14;12;12;14;14;3;0;0;0;0;0;0;0;0;0;12;9;8
"315";"Norra Bollstanäs";"Kvinna";"25-34";"Tjänstledig eller föräldraledig";"Högskola/universitet";"0-4 år";12;7;4;8;12;7;7;7;11;7;7;7;7;7;7;7;9;7;7;11;7;7;8;7;7;9;6;8;13;12;8;8;11;8;6;7;11;9;13;7;7;7;13;7;7;11;11;11;11;11;3;1;3;4;3;12;13;11;2;10;11;9;9
"316";"Ekebo";"Man";"25-34";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"Högskola/universitet";"5-9 år";11;11;10;9;9;10;10;10;13;8;11;11;11;11;1;10;10;13;13;7;8;8;8;11;8;8;8;8;8;9;8;8;8;8;13;15;9;9;15;9;10;8;14;4;7;10;11;9;14;9;12;6;10;9;5;9;9;9;9;9;6;6;10
"317";"Holmen";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"318";"Smedby 2";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;6;11;11;7;5;11;8;10;7;5;10;6;5;9;4;10;9;9;11;11;11;9;10;10;10;11;10;10;10;11;11;11;11;3;4;11;11;14;8;11;5;3;5;10;10;10;10;10;10;11;5;8;10;11;10;10;10;10;10;11;10;5
"319";"Carlslund/Brunnby Park";"Kvinna";"25-34";"Student";"Högskola/universitet";"10 år eller mer";14;10;14;7;7;14;7;8;7;7;7;9;9;7;12;9;13;10;7;14;14;5;14;7;10;12;12;14;14;14;14;14;10;14;6;7;14;14;13;11;12;10;4;7;10;9;8;12;14;14;12;10;8;11;14;14;13;14;14;14;11;10;6
"320";"Sigma/Apoteksskogen";"Man";"55-64";"Förvärvsarbetande (anställd)";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";14;14;0;14;14;12;14;3;14;3;8;8;9;9;8;10;10;10;9;9;14;11;11;14;11;11;8;11;14;14;12;14;14;11;4;5;14;12;5;10;14;10;3;3;11;11;10;12;12;12;14;14;10;10;5;10;10;14;5;7;4;4;2
"321";"Runby";"Kvinna";"55-64";"Pensionär";"Högskola/universitet";"10 år eller mer";14;8;4;11;7;14;14;9;9;4;9;9;9;12;14;6;8;7;7;7;7;7;7;7;7;9;9;9;14;10;8;6;12;8;6;7;14;11;14;13;14;14;6;4;4;14;14;14;14;14;8;10;6;11;8;11;11;11;14;10;4;12;7
"322";"Södra Bollstanäs";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";9;8;6;8;9;7;8;6;3;9;8;8;8;8;7;7;12;13;4;13;12;4;8;6;8;9;4;4;13;13;7;10;7;10;12;14;14;9;15;7;13;14;14;7;7;7;9;2;8;8;4;5;8;10;10;13;7;14;9;7;6;7;6
"323";"Frestaby";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";10;8;8;8;11;10;8;8;6;7;8;8;9;7;7;8;10;5;8;9;6;8;6;10;7;8;6;8;8;7;7;9;9;8;12;15;9;10;13;7;9;8;13;7;7;10;9;9;8;8;5;1;1;3;2;4;5;5;6;7;9;9;9
"324";"Södra Bollstanäs";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;8;5;13;7;14;14;6;6;7;6;6;6;10;14;6;6;6;6;14;14;0;14;0;14;14;12;14;14;12;14;14;14;14;6;7;14;14;14;14;9;9;6;14;6;14;14;12;14;14;7;7;7;10;12;14;12;14;8;7;10;8;2
"325";"Dragonvägen";"Kvinna";"55-64";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;11;10;7;7;10;7;7;7;7;0;3;6;7;10;2;8;9;8;7;10;8;10;7;7;8;8;8;11;7;3;9;8;7;12;15;10;9;14;8;11;8;15;7;7;5;10;8;9;9;5;4;1;5;0;0;0;0;0;0;9;9;8
"326";"Hasselgatan";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";6;7;8;7;7;9;9;5;6;3;4;10;8;6;14;6;10;2;11;5;8;6;9;5;11;4;5;11;14;14;9;11;14;8;5;7;13;12;4;10;5;4;4;6;8;13;12;11;14;7;4;0;0;0;0;0;0;0;0;0;10;4;9
"327";"Sigma/Apoteksskogen";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"328";"Hasselbacken";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";6;4;11;10;5;10;6;11;0;9;8;0;2;0;12;4;6;5;6;11;4;11;5;11;4;2;11;8;14;14;4;10;9;12;4;7;14;11;12;11;9;9;3;1;4;9;14;6;7;7;8;8;5;10;5;14;11;14;13;5;5;3;3
"329";"Hasselgatan";"Man";"25-34";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;7;9;4;10;1;10;9;4;5;4;2;6;8;13;2;3;4;5;6;10;5;9;6;8;5;9;8;14;10;10;12;10;10;3;14;11;8;11;6;11;9;10;5;5;10;9;8;12;14;2;1;0;1;2;7;3;4;3;7;4;3;5
"330";"Smedby arbetsområde";"Kvinna";"35-44";"Student";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;10;13;14;13;10;12;7;7;7;8;10;10;9;13;7;7;7;7;7;14;7;12;8;7;14;14;14;12;9;8;14;13;12;6;7;10;11;11;9;14;14;13;14;11;12;9;12;13;14;3;2;3;4;11;10;4;14;13;11;9;9;7
"331";"Vilunda/Korpkulla";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";10;9;5;10;4;9;10;5;5;4;9;9;5;9;8;9;8;4;6;10;6;8;5;10;8;9;5;8;9;10;5;8;13;6;12;11;10;8;14;2;11;11;13;4;5;9;5;6;10;7;8;5;8;6;3;5;10;4;11;3;9;3;5
"332";"Vilunda/Korpkulla";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";8;10;6;10;9;10;11;6;6;4;8;8;9;10;7;6;10;8;8;9;9;9;8;8;10;8;6;9;10;9;9;8;10;8;13;15;8;8;15;9;10;8;3;8;6;9;8;9;11;10;11;8;2;9;8;7;9;9;12;8;4;4;11
"333";"Skälby";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";10;6;7;7;7;6;6;6;6;11;7;7;7;7;7;8;9;9;5;9;5;10;5;7;7;6;6;6;7;7;8;8;8;8;13;13;7;7;13;7;9;9;13;7;7;9;9;7;7;7;1;0;0;0;0;0;0;0;0;0;6;8;9
"334";"Södra Bollstanäs";"Kvinna";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";14;9;5;8;5;11;7;9;5;5;11;4;8;11;10;8;11;7;7;7;11;7;7;8;7;10;9;10;11;8;7;10;8;10;2;14;8;8;12;6;8;8;14;11;3;8;8;6;9;8;1;1;1;2;1;2;2;2;2;1;10;10;7
"335";"Dragonvägen";"Kvinna";"15-24";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;14;0;14;14;14;14;0;12;0;14;14;14;14;14;11;14;12;12;13;14;1;13;11;10;14;2;14;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;4;4;4
"336";"Runby Backar/Lövsta";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"5-9 år";8;8;6;8;7;8;8;6;6;6;7;7;7;7;7;8;8;6;8;8;8;8;6;8;7;8;6;8;8;8;8;8;8;8;13;14;8;8;13;7;8;8;14;7;7;8;13;8;10;8;9;9;9;9;12;12;12;12;14;9;12;10;8
"337";"Sigma/Apoteksskogen";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;11;0;11;8;7;10;4;8;0;12;11;8;7;2;8;8;14;13;7;13;9;5;14;11;13;3;11;14;14;11;9;14;10;11;14;10;10;14;14;8;13;14;14;7;9;12;8;11;8;12;2;7;6;10;9;10;9;13;9;4;4;4
"338";"Runby";"Man";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";14;14;11;14;11;11;13;4;10;0;5;13;1;14;14;10;6;3;4;12;10;9;10;13;3;14;11;12;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;5;5;10;14;9;5;14;14;11;13;12;13;14;14;14;14;14;4;10;8
"339";"Norra Bollstanäs";"Kvinna";"25-34";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;5;9;11;8;4;0;14;11;7;1;6;4;11;14;13;11;2;8;5;13;5;11;9;7;12;9;11;14;14;9;12;10;13;6;7;13;10;15;8;14;11;15;7;8;11;8;12;9;14;10;5;8;7;6;12;13;14;11;9;8;4;10
"340";"Hasselbacken";"Kvinna";"55-64";"Har sjuk- eller aktivitetsersättning";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;12;11;11;11;13;13;8;5;12;5;6;6;11;11;12;13;14;13;14;8;6;6;8;5;5;11;14;14;14;13;13;14;14;5;4;14;13;7;11;14;14;6;13;2;14;9;14;14;14;10;14;14;14;12;13;14;14;14;14;7;7;10
"341";"Grimstaby";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";4;8;11;11;8;11;11;6;6;6;4;10;11;10;9;11;11;3;11;3;8;7;8;4;10;9;3;9;11;9;6;11;6;10;13;4;9;9;12;6;11;11;3;9;4;5;5;6;11;11;1;1;5;8;5;11;8;10;11;4;10;10;9
"342";"Sigma/Apoteksskogen";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";14;14;0;14;7;14;14;0;14;0;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;0;14;14;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;14;7;14;14;14;14;14;3;3;3;6;6;9;11;11;12;6;12;5;3
"343";"Smedby 2";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;7;8;9;8;9;9;6;6;7;5;6;6;6;9;8;8;8;8;8;8;6;7;7;7;8;6;8;7;7;8;8;8;8;13;15;9;9;15;9;9;8;15;9;9;7;7;7;7;7;2;3;1;4;2;5;6;9;11;6;8;8;6
"344";"Sigma/Apoteksskogen";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;7;7;7;7;11;8;8;8;3;4;4;7;7;7;11;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;4;7;7;13;7;11;7;13;7;7;11;11;11;11;11;0;0;0;0;0;0;0;0;0;0;4;8;8
"345";"Njursta";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";8;11;8;10;7;10;11;9;5;3;6;4;8;10;13;8;5;10;11;9;9;6;8;5;12;8;6;9;14;14;9;8;12;10;2;3;14;11;14;7;11;12;2;8;5;8;9;8;11;12;7;9;5;8;6;13;12;11;10;4;11;10;6
"346";"Prästgårdsmarken";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";6;8;8;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;6;6
"347";"Hasselbacken";"Kvinna";"15-24";"Student";"Högskola/universitet";"0-4 år";7;7;7;7;7;9;8;9;4;11;7;11;7;7;7;12;10;5;3;13;5;11;11;10;10;5;11;4;12;12;5;10;3;8;3;5;12;12;5;6;14;14;6;4;10;5;5;5;5;5;2;2;2;3;4;14;7;14;14;1;2;5;11
"348";"Odenslunda";"Man";"45-54";"Egen företagare";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;6;9;9;9;11;8;9;3;14;9;5;5;9;10;8;8;10;9;10;7;7;7;7;7;6;6;6;9;9;8;8;8;8;13;14;10;10;15;7;9;9;15;6;9;6;8;8;8;7;6;7;5;5;5;9;9;9;9;4;2;3;2
"349";"Odenslunda";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";10;5;10;6;9;8;11;6;6;8;6;6;8;9;10;8;11;6;11;6;8;10;6;6;8;8;6;8;11;11;8;11;6;11;3;3;11;11;4;11;11;11;3;6;6;8;6;6;11;11;1;1;1;11;10;12;11;12;12;9;7;7;7
"350";"Infra City";"Kvinna";"15-24";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;12;12;10;10;10;10;7;7;10;7;9;7;7;9;10;13;14;7;14;12;10;9;8;12;9;9;11;14;12;10;12;14;9;12;13;14;14;3;10;13;12;4;6;8;12;12;13;12;12;1;1;8;1;8;13;14;13;14;13;7;5;9
"351";"Sjukyrkoberget";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"5-9 år";10;10;7;4;4;6;10;10;4;10;9;5;9;9;9;9;6;6;9;7;6;6;10;6;4;10;5;8;10;7;6;10;6;9;12;13;11;11;12;6;7;7;15;9;5;12;7;12;12;12;9;10;7;3;3;10;2;12;5;12;10;11;8
"352";"Sjukyrkoberget";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;6;9;9;8;8;9;9;3;9;8;7;7;7;7;8;8;7;7;7;10;9;11;3;8;9;6;9;10;8;8;9;10;8;3;4;9;9;13;7;8;10;15;3;6;8;10;10;10;12;3;2;2;5;5;5;5;5;12;5;5;11;10
