"Area";"Gender";"Age";"Occupation";"Education level";"Year";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parks and green areas";"Diversity in housing supply";"Invest in public areas";"Communications";"Culture and leisure";"Education";"Care";"School";"Safety";"Ecological sustainability";"Disagreement 1";"Disagreement 2";"Disagreement 3"
"Skälby";"Man";"55-64";"Employee";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Norra Bollstanäs";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";13;5;10;6;9;10;8;6;4;8;5;10;7;7;10;10;4;5;8;12;8;4;10;7;5;6;8;9;12;12;9;8;13;6;10;10;12;12;8;6;10;9;5;9;6;10;8;8;7;9;6;5;4;4;5;11;10;11;8;10;6;6;5
"Odenslunda";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";13;9;5;7;11;7;7;7;7;14;7;13;7;7;7;14;14;10;14;14;12;8;14;9;3;13;7;9;14;13;7;9;9;9;11;11;12;12;12;12;13;14;10;0;8;11;14;9;12;11;7;1;7;14;8;12;8;12;11;6;5;6;6
"Dragonvägen";"Man";"25-34";"Employee";"College/University";"10 or more years";5;8;9;9;7;8;9;10;4;10;8;9;9;10;10;7;7;7;7;7;9;6;9;5;9;6;10;8;14;11;10;10;8;8;10;8;14;10;14;7;12;8;10;5;10;14;10;14;5;14;12;4;8;8;7;14;6;11;13;14;3;3;3
"Vilunda/Korpkulla";"Man";"55-64";"Employee";"College/University";"10 or more years";10;8;9;10;9;8;8;9;4;11;11;10;10;10;11;5;11;6;11;10;8;10;5;8;10;9;4;10;13;13;10;12;10;9;8;9;12;9;8;8;12;12;12;3;9;11;11;11;14;14;5;9;9;10;9;11;8;11;11;11;2;3;7
"Brunnby-Vik";"Man";"25-34";"Employee";"Other post-secondary education";"0-4 years";11;9;0;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;14;11;14;14;14;8;8;8;8;8;14;14;14;14;10;7;7;7;7;7;11;11;10;8;14;3;1;2;1;2;4;2;14;1;2;7;6;4
"Runby";"Woman";"45-54";"Employee";"College/University";"5-9 years";14;14;14;14;14;14;10;8;8;0;8;8;8;14;14;14;14;14;14;14;9;14;10;14;10;14;4;12;14;14;10;10;14;14;14;14;14;7;7;7;14;14;14;7;7;14;14;14;14;14;8;14;8;14;8;14;14;14;14;14;10;8;7
"Brunnby-Vik";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";8;8;9;10;7;8;9;8;9;7;6;6;6;8;6;6;9;8;8;10;9;6;8;8;7;10;9;8;8;9;11;8;10;8;9;8;8;8;8;10;8;9;8;8;7;8;9;8;8;8;2;5;1;4;1;1;5;1;6;3;4;6;5
"Södra Bollstanäs";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";7;13;5;5;14;9;5;11;4;11;7;7;7;7;7;3;3;3;4;6;9;0;5;0;1;8;9;9;12;10;12;9;12;7;10;9;11;8;7;14;10;10;8;7;7;8;8;8;6;9;1;1;2;1;1;3;3;3;3;1;4;4;6
"Vilunda/Korpkulla";"Woman";"45-54";"Employee";"Other post-secondary education";"5-9 years";14;14;3;14;7;14;7;7;0;0;7;7;7;14;7;0;14;7;0;14;14;3;0;14;9;13;2;7;14;14;11;14;12;14;14;14;14;14;14;4;10;7;14;7;0;11;14;8;14;14;13;9;13;6;6;14;8;14;6;14;10;6;3
"Odenslunda";"Man";"45-54";"Self-employed";"College/University";"5-9 years";8;9;9;8;7;9;9;7;5;10;6;9;9;9;10;9;10;10;7;7;8;8;8;8;6;9;9;6;11;8;9;9;9;7;7;8;9;9;7;7;8;11;5;7;7;9;8;9;9;10;0;0;0;0;0;0;0;0;0;0;3;2;7
"Carlslund/Brunnby Park";"Woman";"35-44";"Job-seeker";"College/University";"5-9 years";7;7;7;7;7;7;5;6;0;14;7;7;7;7;7;4;12;14;9;14;7;7;7;7;7;12;6;9;12;7;8;8;9;10;14;14;8;8;8;14;14;14;8;7;7;7;11;7;14;7;5;4;4;9;6;14;13;14;11;8;0;2;5
"Odenslunda";"Woman";"55-64";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";7;11;13;7;8;14;6;9;8;11;8;5;10;8;12;8;6;6;7;7;6;2;5;10;6;8;6;8;11;12;8;6;8;6;9;6;11;10;9;13;9;10;6;8;7;8;6;4;8;10;3;6;4;4;7;12;8;13;9;5;1;8;2
"Sjukyrkoberget";"Woman";"35-44";"Employee";"College/University";"0-4 years";11;6;5;10;7;10;8;9;8;7;8;9;8;9;8;8;10;6;9;10;8;8;6;8;7;9;10;11;12;12;9;9;8;8;10;12;11;12;10;9;9;11;8;7;7;8;9;10;11;12;5;4;5;7;8;8;9;12;10;9;6;6;6
"Carlslund/Brunnby Park";"Man";"45-54";"Employee";"College/University";"5-9 years";8;5;11;11;11;10;12;5;9;14;11;4;5;3;11;4;11;14;12;7;8;8;8;3;5;14;14;14;14;14;8;8;11;10;10;12;14;14;8;4;14;12;10;3;3;10;11;11;14;9;1;1;5;7;2;14;14;14;8;1;0;9;8
"Norra Bollstanäs";"Man";"45-54";"Employee";"College/University";"5-9 years";9;7;11;7;7;9;9;8;8;11;5;8;8;10;9;8;9;8;9;11;9;8;9;9;6;8;9;10;9;10;9;9;9;9;10;9;10;10;9;8;11;11;11;11;6;9;10;8;11;8;2;4;3;8;6;10;11;10;12;6;3;3;3
"Eds Glesbygd";"Woman";"55-64";"Self-employed";"College/University";"5-9 years";3;7;7;7;7;4;7;7;7;7;7;7;7;7;7;1;7;7;7;7;5;7;7;7;7;7;7;7;7;7;4;7;7;7;7;5;7;7;7;7;9;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;1;4
"Södra Bollstanäs";"Man";"35-44";"Employee";"College/University";"5-9 years";9;9;7;7;7;10;8;9;0;7;9;10;10;9;9;8;9;9;10;13;10;8;12;9;10;9;12;8;12;14;8;8;9;8;13;13;14;14;14;10;12;12;12;11;7;12;12;12;11;14;6;5;4;12;7;14;6;14;8;9;7;6;3
"Carlslund/Brunnby Park";"Woman";"45-54";"Employee";"College/University";"5-9 years";10;5;8;8;14;10;8;8;1;6;6;12;9;9;6;11;6;6;14;7;7;7;7;7;7;6;9;9;14;9;7;7;7;7;7;6;11;9;8;7;7;7;7;7;10;8;8;8;11;8;8;4;7;11;4;14;5;14;11;5;7;2;2
"Grimstaby";"Woman";"45-54";"Employee";"Other post-secondary education";"5-9 years";7;7;7;7;7;9;9;7;7;7;7;7;7;7;7;9;9;9;9;11;7;7;7;7;7;14;14;11;11;11;9;11;10;8;9;9;9;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;2;5
"Prästgårdsmarken";"Man";"35-44";"Self-employed";"Doctorate";"5-9 years";14;7;4;5;6;10;8;5;4;0;10;4;6;11;7;2;3;14;4;12;9;2;8;3;4;10;0;9;11;13;4;4;4;4;4;8;8;8;5;6;7;7;7;7;7;3;10;5;11;13;6;5;3;0;5;10;4;7;7;9;10;7;1
"Sjukyrkoberget";"Woman";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";9;9;10;9;9;11;10;10;8;10;8;8;8;8;10;11;11;11;11;11;8;8;8;10;8;11;11;11;11;11;8;11;8;11;10;10;11;11;11;9;11;11;11;10;10;10;10;10;10;10;2;9;2;12;4;14;14;14;12;7;5;5;5
"Frestaby";"Man";"45-54";"Employee";"College/University";"10 or more years";14;4;12;11;9;10;8;9;2;13;8;9;8;11;10;10;6;8;9;7;13;7;14;7;11;12;7;10;14;11;7;12;10;9;7;7;14;13;6;10;10;12;7;7;7;11;7;13;10;14;5;7;1;11;8;12;2;14;10;9;5;6;4
"Skälby";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";10;5;9;5;9;10;9;8;5;9;4;5;9;9;6;6;8;5;9;9;9;9;5;7;8;3;10;10;10;10;9;9;9;6;9;9;9;9;8;8;11;11;11;5;10;13;11;11;12;13;7;11;7;9;4;14;14;14;10;3;8;2;2
"Odenslunda";"Woman";"45-54";"Employee";"Other post-secondary education";"5-9 years";14;14;1;14;14;14;14;11;3;0;5;2;11;12;13;14;14;1;14;14;13;4;14;4;6;10;4;10;14;14;4;14;12;14;14;14;14;14;6;7;14;13;14;3;3;14;13;13;14;13;4;4;4;8;4;14;14;14;5;5;10;9;3
"Runby";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";11;10;5;7;7;9;8;8;6;8;8;8;8;10;10;8;9;7;7;7;8;8;7;7;7;8;8;8;8;8;8;8;8;8;10;8;7;7;7;7;8;8;7;7;7;8;8;8;9;8;1;0;0;0;0;0;0;0;0;0;4;4;5
"Prästgårdsmarken";"Man";"45-54";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";14;9;4;14;14;12;12;8;8;3;3;0;6;6;14;8;14;6;12;7;8;8;13;9;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;13;13;9;7;7;9;8;8;9;11;9;11;10;6;4;7;8;6;12;2;10;4;2
"Runby";"Woman";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;9;6;9;7;8;8;9;5;2;7;5;4;8;11;9;11;6;10;5;14;4;8;6;10;13;8;9;14;10;8;11;11;10;14;14;8;10;3;6;10;9;8;8;5;14;10;11;14;14;9;4;4;4;12;14;14;14;14;14;10;5;3
"Norra Bollstanäs";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";10;7;6;14;3;14;12;6;7;9;8;11;10;10;11;11;10;9;9;7;9;8;6;5;11;9;9;12;14;12;8;12;11;13;14;14;13;12;11;10;14;14;10;9;6;14;11;13;10;14;9;11;6;8;8;12;14;13;13;8;5;5;4
"Sigma/Apoteksskogen";"Man";"35-44";"Employee";"College/University";"0-4 years";8;8;8;8;8;9;9;8;8;9;9;8;9;9;7;8;7;7;7;7;9;8;8;9;8;8;8;8;9;7;8;8;8;5;9;10;7;7;7;7;7;7;7;7;7;8;9;8;8;9;2;2;1;3;1;1;1;1;1;3;5;4;2
"Södra Bollstanäs";"Man";"25-34";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";14;14;8;14;14;14;14;14;11;0;6;9;9;9;14;12;14;14;9;14;14;8;14;8;12;13;11;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;7;7;7;7;7;14;13;14;13;9;10;10;10
"Prästgårdsmarken";"Woman";"25-34";"Leave of absence";"High school, Nordic folk high school, or equivalent";"10 or more years";12;9;6;10;11;13;12;11;8;7;5;9;6;8;12;11;13;8;12;7;9;12;9;10;8;13;4;12;14;14;11;13;9;8;12;11;13;12;9;7;9;8;7;6;11;8;9;11;10;8;6;3;7;2;1;9;8;10;5;4;8;8;5
"Sigma/Apoteksskogen";"Woman";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";6;7;10;9;12;9;11;9;4;10;12;8;6;4;9;13;13;3;14;4;12;10;13;6;9;9;11;8;14;12;9;8;14;10;14;12;14;13;11;8;10;9;11;13;5;8;9;12;14;13;2;4;2;14;7;9;10;9;8;14;3;4;3
"Vilunda/Korpkulla";"Woman";"45-54";"Employee";"College/University";"5-9 years";13;5;8;9;8;11;11;11;11;3;1;8;6;12;12;11;9;10;10;10;9;9;8;10;7;13;5;9;14;14;10;6;12;9;10;12;12;12;6;6;12;12;12;14;8;8;8;10;9;9;5;5;5;7;7;12;13;13;12;12;10;2;3
"Södra Bollstanäs";"Woman";"45-54";"Employee";"Doctorate";"0-4 years";10;0;14;14;14;14;14;14;0;14;11;14;5;7;12;14;6;9;12;14;9;8;8;8;11;14;9;14;14;14;10;10;10;10;10;9;14;14;9;8;14;8;8;0;14;8;8;8;8;8;1;1;1;1;1;14;5;14;14;5;0;0;0
"Runby";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";12;10;9;14;11;14;13;9;10;5;11;13;0;7;14;12;14;8;11;9;7;6;10;5;14;8;5;13;14;14;9;11;10;14;13;12;13;14;10;11;14;13;12;7;6;7;10;13;14;12;14;13;7;10;3;11;8;11;7;12;10;1;5
"Sjukyrkoberget";"Man";"35-44";"Employee";"College/University";"5-9 years";11;9;4;11;11;9;8;10;8;0;12;10;11;11;8;14;10;14;14;14;11;14;14;13;12;14;11;14;14;14;14;14;14;10;14;14;14;14;14;14;14;14;14;8;14;11;14;13;8;14;10;1;6;7;10;13;12;14;11;11;10;10;1
"Skälby";"Woman";"15-24";"Student";"High school, Nordic folk high school, or equivalent";"5-9 years";11;6;12;13;9;11;10;6;6;13;9;8;5;6;12;8;10;10;8;10;11;13;10;10;9;9;13;9;13;13;12;12;11;11;7;7;12;12;12;6;9;9;9;7;12;8;10;9;12;10;1;11;1;2;8;9;7;9;10;3;1;1;5
"Dragonvägen";"Man";"65+";"Senior citizen";"Doctorate";"5-9 years";9;6;7;13;7;14;14;7;7;14;7;13;7;13;13;10;9;7;14;14;7;7;7;7;7;9;7;7;14;14;7;7;7;7;14;14;14;7;7;10;11;12;14;8;0;7;14;7;7;7;10;5;3;14;10;12;13;14;13;6;2;1;1
"Södra Bollstanäs";"Man";"15-24";"Job-seeker";"High school, Nordic folk high school, or equivalent";"5-9 years";4;5;10;8;6;11;10;8;3;5;4;11;7;9;10;10;8;4;9;13;13;0;11;9;7;11;0;9;7;14;12;10;9;14;0;0;14;10;5;8;8;8;11;6;10;2;4;5;12;5;1;5;11;12;8;12;2;10;6;0;7;5;1
"Runby Backar/Lövsta";"Man";"35-44";"Employee";"College/University";"0-4 years";8;14;4;7;11;2;4;8;0;10;10;4;3;2;14;7;10;11;13;14;14;12;11;0;1;7;11;12;14;13;0;13;0;12;14;11;12;13;14;7;13;14;12;11;7;6;14;5;8;12;13;0;0;14;9;10;0;11;12;0;5;3;0
"Hasselgatan";"Woman";"65+";"Senior citizen";"College/University";"10 or more years";9;6;11;7;7;6;9;6;8;8;6;8;6;9;9;11;11;11;11;11;9;9;8;9;9;9;8;9;11;11;8;9;9;11;11;11;8;8;11;7;11;7;7;7;7;11;8;11;9;11;1;3;0;0;0;0;0;0;0;0;8;5;2
"Norra Bollstanäs";"Woman";"15-24";"Student";"College/University";"5-9 years";10;9;7;9;10;11;11;8;7;7;8;10;8;6;10;9;10;9;10;11;11;9;9;11;7;10;7;11;14;14;10;10;10;7;10;10;14;14;7;7;14;10;14;10;7;10;6;8;11;14;7;11;5;8;6;14;13;14;14;10;8;7;2
"Frestaby";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;8;5;8;7;9;9;8;7;6;8;6;6;8;8;6;6;8;7;7;12;6;14;7;8;9;7;9;8;8;9;9;8;8;8;8;9;10;11;10;11;10;8;12;10;13;13;11;11;11;14;3;4;3;8;8;7;6;6;8;10;10;5
"Sigma/Apoteksskogen";"Woman";"35-44";"Sickness or activity benefit";"High school, Nordic folk high school, or equivalent";"5-9 years";14;9;9;10;14;12;9;7;7;4;6;8;5;8;14;4;11;8;8;7;12;4;11;10;7;11;6;12;13;8;11;14;11;14;14;14;14;14;9;11;14;14;14;14;7;11;14;11;14;11;11;6;8;14;14;14;14;14;14;14;10;10;0
"Smedby 3";"Woman";"35-44";"Employee";"Other post-secondary education";"5-9 years";14;10;0;9;8;13;13;8;9;5;7;7;7;7;7;7;7;6;7;4;7;9;7;7;7;9;6;9;9;9;10;10;10;7;7;10;10;10;4;10;9;9;8;8;5;10;8;9;9;14;12;7;5;3;3;3;10;3;10;14;10;10;10
"Carlslund/Brunnby Park";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;9;0;14;9;14;11;10;8;0;14;11;11;11;0;14;14;14;14;14;11;11;11;12;10;14;9;14;14;12;14;14;14;14;7;7;13;13;9;11;9;10;11;0;10;9;9;14;14;7;2;14;10;14;11;12;11;11;7;11;10;2;10
"Smedby 3";"Woman";"15-24";"Student";"Elementary school or equivalent compulsory school";"0-4 years";14;6;6;8;9;7;10;14;7;3;7;11;13;11;14;7;14;14;7;9;8;3;7;14;14;13;0;8;14;7;10;9;11;8;14;14;14;9;0;7;12;7;12;7;12;14;7;14;14;14;2;0;0;5;0;5;5;5;0;14;9;9;9
"Runby";"Woman";"35-44";"Employee";"College/University";"0-4 years";6;12;14;8;7;7;7;9;4;14;5;4;7;6;9;9;7;10;8;14;8;7;7;7;0;7;7;7;7;7;11;7;10;7;7;7;7;7;7;7;7;7;7;7;14;9;7;9;14;14;6;6;6;14;1;1;6;1;2;10;3;4;3
"Norra Bollstanäs";"Woman";"45-54";"Self-employed";"College/University";"5-9 years";10;3;3;3;10;3;3;11;11;4;9;9;9;3;11;11;11;3;7;11;11;4;4;8;11;8;5;8;11;14;8;9;9;11;7;7;7;7;7;7;10;10;10;3;7;9;9;5;5;6;6;3;6;12;4;12;7;5;5;12;10;10;10
"Carlslund/Brunnby Park";"Woman";"35-44";"Employee";"College/University";"0-4 years";8;7;10;7;7;10;6;9;5;10;7;7;7;7;7;9;6;6;8;10;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;11;7;7;7;5;5;5;3;9;11;6;9;3;10;7;10;2;14;6;4;8;4;7;12;0;0;5
"Johannesdal";"Woman";"45-54";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";11;11;3;11;7;11;11;7;7;7;3;11;7;7;11;3;7;11;11;11;7;7;7;7;7;11;5;11;11;7;8;11;11;8;11;11;11;11;7;11;11;11;4;7;5;11;11;11;11;11;7;5;5;7;4;4;7;7;7;7;7;10;8
"Prästgårdsmarken";"Man";"25-34";"Student";"College/University";"5-9 years";14;0;0;7;7;7;7;7;14;0;0;12;7;7;1;0;4;10;8;12;11;1;10;4;5;10;0;8;14;14;6;8;9;7;14;14;14;14;5;2;7;7;7;13;0;14;14;14;14;14;7;7;3;6;4;14;7;14;7;14;10;10;1
"Brunnby-Vik";"Woman";"45-54";"Employee";"College/University";"5-9 years";14;10;9;8;7;12;13;9;7;7;10;7;8;8;12;7;14;8;8;13;13;6;13;7;7;11;7;10;12;12;14;14;14;14;14;14;13;12;12;10;12;12;11;7;7;8;10;10;10;7;3;7;5;8;9;13;13;13;5;4;8;5;6
"Folkparksområdet";"Man";"35-44";"Employee";"College/University";"5-9 years";6;6;9;8;7;13;12;12;14;12;13;13;13;13;13;13;13;13;13;13;7;7;7;7;7;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;7;7;14;12;12;14;14;6;14;10;12;8;14;14;14;14;6;5;5;4
"Kavallerigatan/Vilundaparken";"Man";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";7;8;14;8;8;14;14;14;6;7;7;8;14;8;8;6;10;7;9;10;2;1;0;7;1;8;6;7;14;14;8;7;8;8;8;7;14;10;13;1;9;10;10;7;9;0;7;0;7;0;1;4;1;4;0;8;1;8;14;0;0;2;5
"Vilunda/Korpkulla";"Woman";"35-44";"Employee";"College/University";"0-4 years";8;5;8;10;7;8;8;10;5;11;4;11;10;11;8;7;7;7;7;7;11;3;9;10;5;11;3;9;10;10;5;9;5;9;5;4;8;9;9;3;9;11;9;5;11;5;5;6;9;9;1;0;0;0;0;0;0;0;0;0;4;6;5
"Runby";"Woman";"65+";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Norra Bollstanäs";"Woman";"35-44";"Employee";"Other post-secondary education";"5-9 years";11;5;12;8;14;5;8;13;3;13;4;8;13;13;7;14;3;4;14;13;5;9;14;6;4;13;2;11;14;7;10;6;10;14;9;6;14;8;12;7;11;14;7;7;7;8;5;8;14;14;8;6;7;12;8;14;10;14;7;5;5;3;0
"Hasselgatan";"Man";"55-64";"Employee";"Other post-secondary education";"5-9 years";14;7;7;7;7;14;7;7;7;7;7;7;7;7;7;7;7;7;7;7;10;7;7;7;7;9;7;7;7;7;14;7;7;7;7;9;7;7;7;7;7;7;7;7;7;9;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;6;6
"Skälby";"Man";"55-64";"Employee";"College/University";"5-9 years";10;4;13;6;6;10;10;11;3;14;3;8;10;9;10;11;9;4;7;7;11;10;8;12;8;8;9;5;11;13;4;2;14;5;13;14;14;10;12;9;3;11;5;0;5;5;12;11;10;7;6;10;2;14;5;9;14;13;10;3;2;3;3
"Södra Bollstanäs";"Man";"55-64";"Employee";"Other post-secondary education";"5-9 years";10;6;10;5;5;10;10;9;5;9;5;10;9;10;9;9;5;5;8;9;11;5;6;4;9;8;10;8;10;11;10;7;9;9;10;10;11;8;11;7;8;10;6;3;5;8;6;9;5;10;2;7;5;6;8;11;10;12;4;9;7;6;7
"Vilunda/Korpkulla";"Man";"65+";"Senior citizen";"College/University";"5-9 years";14;9;4;11;10;12;11;10;8;2;6;8;6;6;10;10;11;11;12;12;12;8;8;9;10;11;10;12;14;13;8;12;12;13;14;14;14;9;8;13;8;9;6;10;4;14;14;14;14;14;2;2;1;1;1;2;2;2;1;2;10;9;5
"Kavallerigatan/Vilundaparken";"Woman";"45-54";"Employee";"Other post-secondary education";"10 or more years";14;8;3;11;5;14;14;7;10;1;5;12;7;14;14;0;8;12;0;14;14;14;14;7;14;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;10;3;7;7;12;14;7;14;14;14;9;5;14;7;11;7;11;11;10;10;7
"Vilunda/Korpkulla";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;8;10;10;10;12;13;11;4;13;12;6;6;6;12;10;10;4;10;14;11;10;11;13;7;4;4;12;13;14;14;11;14;9;9;10;11;9;12;14;14;14;14;6;11;13;14;14;8;14;8;1;7;14;7;14;14;11;14;14;2;0;1
"Dragonvägen";"Man";"35-44";"Employee";"College/University";"5-9 years";14;12;0;10;3;14;11;3;14;0;2;0;1;7;14;0;8;6;11;14;11;0;14;8;6;12;6;8;14;10;6;10;8;14;9;8;14;9;11;6;11;14;11;5;7;8;10;9;7;9;2;10;1;4;14;11;8;11;13;3;10;10;5
"Sjukyrkoberget";"Man";"55-64";"Employee";"College/University";"5-9 years";8;5;11;8;7;8;6;10;6;11;5;8;5;8;11;6;5;10;8;11;10;10;9;8;8;8;8;8;11;11;8;8;9;9;9;8;11;10;10;9;10;9;8;12;7;7;7;7;7;7;1;1;1;2;1;5;1;5;4;1;0;3;5
"Messingen/Optimus";"Woman";"25-34";"Employee";"College/University";"0-4 years";14;11;6;9;8;11;8;9;4;0;10;3;9;10;12;5;5;5;11;10;10;6;11;9;12;13;8;12;14;10;5;14;9;14;9;6;12;12;9;11;5;6;7;0;0;12;12;14;14;14;12;3;3;8;6;11;7;12;2;14;10;10;10
"Odenslunda";"Man";"65+";"Senior citizen";"College/University";"5-9 years";6;8;9;6;7;8;9;6;5;9;6;5;8;8;10;6;8;9;6;9;8;9;6;8;8;8;9;8;9;10;8;9;8;7;7;6;9;9;8;7;9;8;8;7;7;9;8;8;7;7;0;2;0;2;2;3;2;2;3;0;3;3;3
"Norra Bollstanäs";"Woman";"15-24";"Student";"High school, Nordic folk high school, or equivalent";"5-9 years";13;6;6;8;7;8;8;8;6;8;10;7;6;6;10;8;6;9;6;11;9;8;8;6;8;6;6;10;9;8;8;8;8;8;7;6;9;11;8;8;7;7;7;7;7;10;7;7;13;7;1;1;2;8;2;9;4;9;8;4;7;8;7
"Runby";"Man";"55-64";"Self-employed";"College/University";"5-9 years";14;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;10;8;2
"Brunnby-Vik";"Woman";"35-44";"Employee";"College/University";"5-9 years";11;7;10;9;12;10;8;11;7;5;7;7;7;9;8;8;7;7;9;7;12;9;5;8;7;9;10;12;14;14;13;13;14;14;14;14;14;14;14;14;9;9;8;6;7;9;9;9;9;10;8;6;5;8;12;14;14;14;10;10;5;4;4
"Folkparksområdet";"Woman";"55-64";"Employee";"College/University";"5-9 years";14;11;9;7;7;11;9;7;7;7;7;7;7;7;7;5;10;4;7;7;7;7;7;7;7;8;10;8;11;7;5;11;9;11;7;9;11;8;5;5;13;12;8;10;4;8;9;8;4;10;12;7;4;6;3;3;3;10;9;3;10;10;1
"Runby Backar/Lövsta";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";14;7;7;7;7;14;7;7;7;7;14;7;7;7;7;7;7;7;7;7;7;7;7;7;7;14;7;7;7;7;3;7;7;7;7;14;7;7;7;7;12;7;7;7;7;14;7;7;7;7;0;0;0;0;0;0;0;0;0;0;10;10;10
"Hasselgatan";"Woman";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";4;7;7;7;7;12;11;7;7;7;5;10;6;6;7;7;8;10;8;11;10;9;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;3;0;0;0;0;0;0;0;0;0;7;5;3
"Vilunda/Korpkulla";"Woman";"45-54";"Employee";"College/University";"5-9 years";7;10;10;11;10;10;11;7;4;6;6;4;8;11;10;11;10;4;10;10;9;7;3;11;10;3;7;8;11;11;3;8;6;11;11;6;11;11;9;7;11;10;8;6;9;6;10;6;11;6;7;7;11;9;1;10;1;10;14;0;0;0;0
"Runby";"Woman";"35-44";"Job-seeker";"High school, Nordic folk high school, or equivalent";"10 or more years";8;6;6;14;7;10;12;6;0;7;8;10;9;9;9;6;8;14;8;14;8;14;8;6;8;8;8;8;12;12;12;12;14;12;12;14;10;10;11;8;14;11;11;6;8;8;6;8;12;7;3;5;4;4;4;5;6;4;11;2;4;5;4
"Dragonvägen";"Man";"65+";"Senior citizen";"Other post-secondary education";"0-4 years";11;11;3;11;11;10;11;9;5;8;10;11;7;10;11;10;9;10;9;10;11;6;9;10;8;11;11;11;11;11;10;10;11;10;11;11;11;11;11;10;10;9;11;5;9;10;10;9;10;11;11;8;4;5;7;11;13;13;13;6;9;9;5
"Norra Bollstanäs";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";6;12;9;8;6;6;9;8;4;7;6;9;6;7;12;8;10;9;6;8;9;6;11;8;8;3;10;8;14;14;8;8;9;10;14;14;14;14;14;9;8;10;8;4;6;8;8;8;8;9;3;1;1;2;3;14;5;14;4;1;4;4;3
