"Serial";"SID";"Time";"Draft";"IP.Address";"UID";"Username";"X1a..Bevara.existerande.större.grönområden";"X1b..Anlägga.parker.i.existerande.stadsdelar";"X1c..Bygga.bostäder.nära.grönområden";"X1d..Rusta.upp.befintliga.parker";"X1e..Skapa.bättre.tillgänglighet.till.större.grönområden";"X2a..Erbjuda.fler.bostadstyper";"X2b..Erbjuda.fler.lägenhetsstorlekar";"X2c..Erbjuda.småskaligt.markägande";"X2d..Bevara.de.idémässiga.grunderna.för.bebyggelsen.från.1970.talet";"X2e..Erbjuda.fler.bostäder.nära.vatten";"X3a..Blanda.trafikslagen";"X3b..Förlägga.parkering.längs.med.gator";"X3c..Vända.entréer.mot.gator";"X3d..Förlägga.publika.lokaler.i.transparenta.bottenvåningar";"X3e..Trygga.parkeringslösningar.under.bostäder";"X4a..Koppla.ihop.nya.gator.med.befintliga.för.att.stärka.kopplingen.till.intilliggande.stadsdelar.och.minska.barriärerna.som.de.stora.vägarna.utgör.";"X4b..Förbättra.kommunikationerna.nattetid.mellan.olika.delar.av.kommunen";"X4c..Förbättra.kommunikationerna.till.och.från.Uppsala";"X4d..Förbättra.de.nord.sydliga.och.öst.västliga.stråken.via.ett.finmaskigare.och.väl.integrerat.stadsnät.";"X4e..Förbättra.kommunikationerna.till.och.från.Stockholms.innerstad";"X5a..Utöka.utbudet.av.kultur..sport..och.fritidsaktiviteter";"X5b..Skapa.bättre.möjligheter.för.festivaler.och.konserter";"X5c..Skapa.fler.förutsättningar.för.utomhussporter";"X5d..Skapa.marknadsplatser.utomhus";"X5e..Erbjuda.kommunala.bidrag.för.kultur..och.fritidsprojekt";"X6a..Rusta.upp.äldre.skolor";"X6b..Bygg.nya.skolor";"X6c..Förbättra.skolgårdarnas.fysiska.miljöer";"X6d..Höj.kvaliteten.i.grundskolan";"X6e..Höj.kvaliteten.på.gymnasieutbildningarna";"X7a..Fler.kultur..och.fritidsaktiviteter.för.äldre";"X7b..Fler.kultur..och.fritidsaktiviteter.för.barn.och.ungdomar";"X7c..Förbättra.äldreomsorgen.i.kommunen";"X7d..Fler.ungdomsgårdar.och.fältassistenter";"X7e..Minska.barngrupperna.i.förskolan";"X8a..Mindre.barngrupper.i.förskolan";"X8b..Höj.kvaliteten.i.undervisningen";"X8c..Mer.kompetensutveckling.för.skolor.och.lärare";"X8d..Mer.modern.informationsteknologi..IT..i.undervisningen";"X8e..Involvera.vårdnadshavare.mer.i.skolan";"X9a..Öka.tryggheten.kring.stationsområdet";"X9b..Fler.poliser.i.centrala.Väsby";"X9c..Förbättra.belysningen.i.centrala.Väsby";"X9d..Begränsa.öppettider.för.alkoholutskänkning.i.centrala.Väsby";"X9e..Förläng.öppettider.för.affärsverksamhet.i.centrala.Väsby";"X10a..Minska.förbrukningen.av.energi";"X10b..Minska.transporter.och.buller";"X10c..Öka.klimatanpassning.och.kretsloppstänkande";"X10d..Prioritera.miljövänliga.transportsätt..gång..cykel..kollektivtrafik.";"X10e..Minska.miljögifter.och.farliga.kemikalier.i.naturen";"X1..Parker.och.grönområden";"X2..Mångfald.i.bostadsutbudet";"X3..Levandegöra.gemensamma.platser";"X4..Kommunikationer";"X5..Kultur.och.fritid";"X6..Utbildning";"X7..Omsorg";"X8..Skolan";"X9..Trygghet";"X10..Ekologisk.hållbarhet";"X12a..Bygga.bostäder.nära.vatten";"X12b..Bevara.natur.och.strandlinjer.intakta";"X13a..Förtäta.centrum.och.öka.servicen";"X13b..Bevara.grönområden.intakta";"X14a..Utveckla.centrala.Upplands.Väsby";"X14b..Satsa.på.mindre.tätorter.i.kommunen";"Var.bor.du.";"Vilken.är.din.högsta.utbildningsnivå.";"Vilken.är.din.huvudsakliga.sysselsättning.";"Hur.länge.har.du.bott.i.Upplands.Väsby.";"Hur.gammal.är.du.";"Vilket.kön.har.du."
164;251;"01/13/2015 - 19:50";0;0;0;NA;13;8;8;8;8;10;8;9;7;7;4;10;8;9;9;11;9;7;7;8;9;6;8;6;10;10;9;8;11;8;8;10;11;8;"7";"9";11;10;"9";8;11;7;"8";8;6;8;11;8;10;8;8;13;5;12;6;9;9;9;10;9;"8";NA;"7";NA;"2";NA;"Brunnby-Vik";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
165;252;"01/13/2015 - 19:50";0;0;0;NA;3;7;7;7;7;7;7;7;7;7;10;7;7;7;7;2;7;7;7;7;2;7;7;7;7;2;7;7;7;7;2;7;7;7;"7";"7";7;7;"7";7;7;7;"7";7;7;2;7;7;7;7;0;0;0;0;0;0;0;0;0;0;"5";NA;"3";NA;"3";NA;"Odenslunda";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Man"
166;253;"01/13/2015 - 19:51";0;0;0;NA;10;10;4;4;10;10;10;10;3;3;6;9;10;10;10;5;5;8;8;5;10;9;9;8;10;11;3;12;5;10;11;10;8;6;"7";"6";9;9;"3";10;4;4;"9";4;9;11;8;10;10;11;3;8;3;11;8;5;5;5;5;11;"10";NA;"10";NA;"10";NA;"Messingen/Optimus";"Högskola/universitet";"Student";"10 år eller mer";"15-24";"Kvinna"
167;254;"01/13/2015 - 19:52";0;0;0;NA;8;8;6;11;8;9;14;5;14;7;8;0;3;8;14;14;8;8;8;8;8;6;10;8;9;14;12;14;14;11;12;9;9;8;"8";"9";14;13;"9";7;10;10;"10";6;10;9;9;9;9;12;5;13;6;4;3;13;13;13;12;1;"4";NA;"5";NA;"7";NA;"Runby Backar/Lövsta";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
168;255;"01/13/2015 - 19:53";0;0;0;NA;8;4;10;9;8;5;9;5;4;10;8;5;9;8;9;9;9;10;8;10;8;5;9;8;9;8;9;10;8;9;8;8;9;8;"7";"8";9;8;"10";11;8;10;"9";9;6;8;9;8;6;10;1;2;2;6;5;7;8;8;9;4;"4";NA;"4";NA;"3";NA;"Sjukyrkoberget";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
169;256;"01/13/2015 - 19:54";0;0;0;NA;7;8;10;7;7;14;10;0;7;6;6;3;5;8;8;4;13;14;6;14;5;10;8;6;5;6;5;4;9;10;5;5;5;5;"8";"10";9;9;"14";8;2;0;"11";0;10;12;12;12;12;12;0;3;3;7;0;4;7;5;0;8;"5";NA;"5";NA;"2";NA;"Runby";"Högskola/universitet";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"10 år eller mer";"15-24";"Man"
170;257;"01/13/2015 - 19:55";0;0;0;NA;13;11;9;12;9;10;11;12;7;4;9;6;11;4;14;12;8;11;8;13;13;9;11;6;8;12;12;13;13;13;13;13;12;9;"10";"10";13;13;"9";11;12;13;"10";8;7;6;12;12;10;13;6;4;8;7;8;9;10;10;10;8;"8";NA;"7";NA;"6";NA;"Sigma/Apoteksskogen";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"25-34";"Man"
171;258;"01/13/2015 - 19:55";0;0;0;NA;11;8;10;10;9;10;9;10;5;5;9;5;8;6;8;10;10;6;8;6;7;6;6;6;7;8;8;8;11;10;8;8;9;8;"8";"8";8;8;"8";7;10;10;"8";9;6;8;8;8;9;8;1;2;1;1;1;2;3;3;3;3;"6";NA;"7";NA;"7";NA;"Sigma/Apoteksskogen";"Grundskola eller motsvarande obligatorisk skola";"Pensionär";"10 år eller mer";"65+";"Man"
172;259;"01/13/2015 - 19:56";0;0;0;NA;1;3;9;10;9;9;10;9;4;14;8;9;14;8;11;9;9;6;10;12;9;6;9;8;6;8;8;9;14;14;8;8;6;8;"6";"7";14;8;"11";7;12;9;"9";4;11;5;5;5;8;10;1;7;2;8;0;8;7;7;6;0;"0";NA;"0";NA;"0";NA;"Vilunda/Korpkulla";"Högskola/universitet";"Förvärvsarbetande (anställd)";"5-9 år";"35-44";"Man"
173;260;"01/13/2015 - 19:58";0;0;0;NA;10;10;11;9;9;13;10;8;7;9;7;10;9;8;10;11;10;8;8;11;8;8;9;9;11;10;6;8;12;10;9;8;12;10;"11";"11";11;9;"10";9;11;10;"11";6;8;8;10;9;10;10;5;7;5;5;6;10;6;10;10;9;"7";NA;"6";NA;"6";NA;"Carlslund/Brunnby Park";"Gymnasium, folkhögskola eller motsvarande";"Student";"10 år eller mer";"15-24";"Kvinna"
174;261;"01/13/2015 - 19:59";0;0;0;NA;12;13;9;12;12;14;10;9;7;5;10;9;10;12;13;13;11;8;13;7;14;14;14;14;14;11;8;13;11;11;13;10;9;6;"12";"13";13;12;"12";12;14;11;"12";14;7;10;13;9;9;9;10;9;10;11;14;11;10;14;11;13;"9";NA;"7";NA;"3";NA;"Sigma/Apoteksskogen";"Annan eftergymnasial utbildning";"Förvärvsarbetande (anställd)";"5-9 år";"45-54";"Man"
175;262;"01/13/2015 - 20:02";0;0;0;NA;10;3;10;10;7;11;11;6;11;2;5;5;5;11;4;4;4;14;11;9;9;8;6;4;5;3;3;4;12;12;11;11;11;11;"0";"2";10;10;"2";7;9;9;"5";0;10;3;2;3;3;7;0;0;0;0;0;0;0;0;0;0;"8";NA;"8";NA;"2";NA;"Runby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
176;263;"01/13/2015 - 20:04";0;0;0;NA;9;9;7;10;7;7;8;10;9;8;7;7;7;7;7;12;6;6;11;8;8;8;9;8;8;14;2;10;14;12;8;9;10;10;"11";"11";14;12;"12";7;10;14;"8";7;10;7;7;9;10;13;11;2;7;11;10;14;13;14;14;8;"8";NA;"7";NA;"8";NA;"Södra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Kvinna"
177;264;"01/13/2015 - 20:04";0;0;0;NA;14;11;6;8;8;14;14;10;7;7;3;3;9;11;14;11;8;4;7;7;14;14;6;6;11;14;14;14;14;14;0;14;14;14;"14";"14";14;14;"5";5;14;8;"14";14;4;6;14;8;8;14;14;14;2;2;14;14;14;14;14;2;"10";NA;"10";NA;"6";NA;"Runby";"Annan eftergymnasial utbildning";"Förvärvsarbetande (anställd)";"10 år eller mer";"65+";"Man"
178;265;"01/13/2015 - 20:04";0;0;0;NA;14;13;9;11;12;14;14;14;14;8;12;13;8;14;14;13;14;10;12;14;14;14;14;14;14;10;11;9;14;14;14;14;13;11;"7";"8";9;14;"14";8;14;9;"14";8;14;9;10;8;14;14;14;11;8;9;13;10;7;7;7;7;"10";NA;"10";NA;"10";NA;"Ekebo";"Högskola/universitet";"Långtidssjukskriven (mer än 3 månader)";"0-4 år";"25-34";"Kvinna"
179;266;"01/13/2015 - 20:06";0;0;0;NA;14;12;10;11;11;13;11;5;3;1;3;6;9;10;12;13;12;10;14;10;14;11;12;10;11;14;11;12;14;14;12;12;14;13;"11";"10";11;10;"10";14;14;14;"13";10;12;10;12;14;14;12;7;9;7;9;7;10;11;10;11;8;"10";NA;"6";NA;"6";NA;"Vilunda/Korpkulla";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
180;267;"01/13/2015 - 20:11";0;0;0;NA;11;10;5;12;8;12;7;7;1;3;9;5;6;7;13;8;14;14;10;7;14;8;7;5;14;11;3;14;14;7;10;13;9;13;"7";"9";13;14;"14";4;14;14;"13";7;7;8;7;9;14;14;5;4;7;8;8;9;8;14;13;9;"9";NA;"5";NA;"1";NA;"Sigma/Apoteksskogen";"Högskola/universitet";"Förvärvsarbetande (anställd)";"5-9 år";"25-34";"Kvinna"
181;268;"01/13/2015 - 20:12";0;0;0;NA;14;11;6;9;7;11;8;6;3;6;8;5;6;9;8;9;8;8;6;10;6;11;8;5;4;7;7;7;7;7;7;7;7;7;"7";"7";7;7;"7";7;8;8;"9";3;8;12;8;8;13;12;8;3;5;6;6;1;1;1;2;8;"5";NA;"5";NA;"1";NA;"Skälby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"0-4 år";"35-44";"Man"
182;269;"01/13/2015 - 20:13";0;0;0;NA;14;13;2;9;3;12;11;10;7;2;7;1;8;9;10;6;0;3;5;12;11;5;12;6;7;14;9;10;12;12;9;4;10;6;"10";"9";13;13;"6";8;9;8;"6";6;5;8;8;14;9;11;10;7;6;5;8;11;11;11;7;14;"10";NA;"10";NA;"2";NA;"Runby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
183;270;"01/13/2015 - 20:13";0;0;0;NA;10;8;8;9;9;10;11;9;8;11;10;8;9;9;10;9;5;5;5;8;9;9;9;9;7;9;10;10;9;11;10;9;10;10;"10";"9";9;10;"10";10;12;12;"12";10;5;10;11;11;11;12;11;2;6;6;6;4;4;4;8;2;"7";NA;"8";NA;"7";NA;"Carlslund/Brunnby Park";"Grundskola eller motsvarande obligatorisk skola";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Man"
184;271;"01/13/2015 - 20:18";0;0;0;NA;7;7;14;7;7;6;9;8;8;14;5;10;9;8;7;8;8;6;9;8;9;10;6;9;11;10;6;11;13;13;14;8;13;6;"9";"14";14;14;"14";14;10;13;"8";5;6;12;12;8;11;8;5;7;4;8;9;14;12;14;6;10;"0";NA;"0";NA;"8";NA;"Södra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Man"
185;272;"01/13/2015 - 20:20";0;0;0;NA;10;11;11;11;7;14;14;13;6;10;12;7;7;11;14;14;14;14;14;14;9;5;9;12;9;14;13;14;14;14;8;14;14;14;"14";"14";14;13;"12";14;14;14;"14";7;14;8;9;12;5;14;8;13;8;13;8;13;13;13;14;8;"4";NA;"0";NA;"0";NA;"Smedby 3";"Gymnasium, folkhögskola eller motsvarande";"Egen företagare";"0-4 år";"15-24";"Man"
186;273;"01/13/2015 - 20:23";0;0;0;NA;8;8;10;8;8;8;8;8;3;11;7;8;8;9;11;7;7;7;7;7;8;8;7;7;7;4;9;9;7;7;8;11;7;7;"7";"7";7;7;"7";7;9;9;"7";7;7;7;7;7;7;7;2;9;6;6;2;9;5;8;5;2;"3";NA;"3";NA;"2";NA;"Brunnby-Vik";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Kvinna"
187;274;"01/13/2015 - 20:23";0;0;0;NA;14;11;0;12;13;14;13;12;7;0;13;4;11;12;14;8;4;14;4;14;14;11;13;12;10;11;10;12;14;13;12;14;12;13;"12";"7";14;14;"13";14;13;9;"11";7;14;11;6;12;13;14;13;14;11;14;12;14;10;14;13;11;"10";NA;"5";NA;"5";NA;"Runby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"5-9 år";"35-44";"Man"
188;275;"01/13/2015 - 20:26";0;0;0;NA;6;8;8;8;7;8;8;6;8;7;4;8;0;5;14;8;8;7;7;7;6;14;5;14;8;6;9;6;14;14;8;8;8;10;"9";"8";8;9;"6";0;14;11;"8";2;10;6;6;5;8;6;1;1;2;3;4;14;12;13;11;0;"8";NA;"3";NA;"2";NA;"Södra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Egen företagare";"10 år eller mer";"45-54";"Man"
189;276;"01/13/2015 - 20:27";0;0;0;NA;9;6;11;8;4;11;6;9;1;13;11;13;8;9;10;13;8;6;10;12;13;12;9;6;10;11;6;10;13;12;8;13;12;11;"9";"9";13;12;"11";10;13;12;"11";4;10;12;13;11;10;9;8;5;7;10;6;13;12;14;11;9;"3";NA;"3";NA;"3";NA;"Runby Backar/Lövsta";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
190;277;"01/13/2015 - 20:27";0;0;0;NA;5;9;9;8;5;9;5;8;4;11;9;2;6;8;11;5;13;10;8;10;4;14;3;11;9;8;14;14;14;14;10;14;10;14;"14";"14";14;14;"14";14;14;14;"11";4;7;11;14;11;14;13;10;8;4;6;7;14;12;14;14;11;"3";NA;"2";NA;"6";NA;"Carlslund/Brunnby Park";"Högskola/universitet";"Förvärvsarbetande (anställd)";"5-9 år";"45-54";"Kvinna"
191;278;"01/13/2015 - 20:28";0;0;0;NA;10;6;8;8;8;12;12;10;11;10;8;4;5;5;7;8;9;8;7;7;4;6;3;8;5;13;9;10;11;7;14;13;10;12;"11";"10";9;7;"7";7;9;12;"10";5;7;3;4;7;6;7;0;6;1;12;5;3;11;10;10;4;"3";NA;"5";NA;"5";NA;"Norra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
192;279;"01/13/2015 - 20:31";0;0;0;NA;0;0;0;0;0;0;14;0;0;0;14;14;14;14;14;14;14;14;14;14;0;14;4;14;8;0;14;14;0;0;3;3;7;7;"7";"7";8;8;"6";14;4;0;"14";7;14;14;14;14;14;14;0;3;3;14;0;0;0;0;0;14;"5";NA;"0";NA;"0";NA;"Messingen/Optimus";"Högskola/universitet";"Student";"10 år eller mer";"15-24";"Man"
193;280;"01/13/2015 - 20:33";0;0;0;NA;10;8;10;11;7;11;8;7;7;7;7;7;7;7;7;9;9;11;8;11;11;11;12;8;12;10;10;10;10;9;10;12;12;12;"13";"11";12;11;"9";10;11;8;"10";10;7;10;10;10;11;11;6;11;6;7;8;11;11;12;12;12;"9";NA;"7";NA;"5";NA;"Runby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
194;281;"01/13/2015 - 20:34";0;0;0;NA;8;6;10;8;7;9;8;10;4;9;8;11;6;6;10;6;11;6;6;9;11;5;8;9;8;8;6;8;11;10;8;6;8;8;"6";"6";11;10;"6";14;10;11;"10";4;9;10;7;8;6;9;10;9;8;8;7;9;10;11;11;6;"2";NA;"1";NA;"7";NA;"Norra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"0-4 år";"45-54";"Man"
195;282;"01/13/2015 - 20:34";0;0;0;NA;10;11;11;8;9;11;11;5;4;11;3;11;10;5;7;9;4;7;7;7;7;7;7;7;7;11;4;11;11;7;11;8;11;5;"11";"11";10;9;"7";7;12;12;"11";6;10;11;8;10;5;11;0;0;0;0;0;0;0;0;0;0;"3";NA;"6";NA;"2";NA;"Södra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Kvinna"
196;283;"01/13/2015 - 20:36";0;0;0;NA;9;10;10;11;8;11;11;8;7;7;9;8;8;8;12;7;7;7;7;7;8;8;8;12;7;11;11;11;14;14;12;14;14;14;"14";"13";14;14;"14";14;14;14;"14";8;14;7;7;7;7;7;5;14;6;4;11;14;14;14;14;4;"8";NA;"8";NA;"9";NA;"Runby Backar/Lövsta";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"65+";"Man"
197;284;"01/13/2015 - 20:36";0;0;0;NA;8;8;8;8;8;9;8;8;8;6;6;6;8;7;7;9;8;7;7;7;7;7;7;7;7;9;8;8;10;10;9;9;8;9;"9";"9";9;9;"10";10;8;7;"7";7;7;9;9;9;10;9;2;5;2;2;2;3;4;7;2;2;"8";NA;"3";NA;"5";NA;"Frestaby";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Man"
198;285;"01/13/2015 - 20:37";0;0;0;NA;11;8;8;10;9;9;9;9;6;7;7;7;7;7;7;7;11;13;13;13;9;9;8;9;10;9;6;9;9;11;9;8;9;10;"11";"9";9;10;"10";7;10;8;"10";7;9;9;10;12;11;9;6;4;6;7;7;9;10;10;10;12;"7";NA;"7";NA;"5";NA;"Odenslunda";"Grundskola eller motsvarande obligatorisk skola";"Förvärvsarbetande (anställd)";"5-9 år";"45-54";"Kvinna"
199;286;"01/13/2015 - 20:37";0;0;0;NA;4;4;13;14;7;9;7;4;4;14;12;10;4;7;14;3;13;3;3;14;9;4;9;4;7;13;2;8;14;14;7;10;11;7;"8";"7";14;13;"10";7;7;7;"7";7;7;7;7;7;7;7;2;2;2;2;2;14;7;13;6;10;"1";NA;"2";NA;"5";NA;"Norra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
200;287;"01/13/2015 - 20:38";0;0;0;NA;10;11;13;10;11;9;8;11;6;14;6;9;8;9;13;11;11;8;8;10;10;8;8;10;5;8;8;8;14;14;9;8;9;11;"9";"8";14;14;"11";8;9;10;"8";2;9;8;8;8;14;11;8;5;3;12;4;14;7;14;11;9;"4";NA;"5";NA;"2";NA;"Brunnby-Vik";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Man"
201;288;"01/13/2015 - 20:43";0;0;0;NA;11;6;11;8;5;14;14;5;3;14;3;14;5;14;11;5;14;5;9;14;11;11;11;14;5;4;11;10;11;14;14;10;14;10;"2";"2";11;12;"14";9;11;14;"14";0;5;5;3;12;14;11;3;0;0;0;0;0;0;0;0;0;"6";NA;"7";NA;"5";NA;"Södra Bollstanäs";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Man"
202;289;"01/13/2015 - 20:47";0;0;0;NA;2;4;12;9;10;10;8;9;0;14;6;6;11;13;9;10;7;7;14;13;1;4;5;8;2;7;7;7;7;7;7;7;7;7;"7";"7";7;7;"12";7;10;11;"6";5;13;11;9;7;7;7;4;1;2;12;0;11;9;10;8;3;"0";NA;"0";NA;"0";NA;"Runby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"5-9 år";"25-34";"Man"
203;290;"01/13/2015 - 20:47";0;0;0;NA;14;7;0;9;8;10;8;7;4;0;0;8;7;7;8;8;7;7;8;8;8;7;8;7;8;8;4;8;8;8;8;8;9;8;"9";"8";8;8;"4";7;8;9;"7";6;3;14;9;14;9;14;2;1;1;4;3;11;11;11;3;14;"10";NA;"10";NA;"0";NA;"Odenslunda";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
204;291;"01/13/2015 - 20:48";0;0;0;NA;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;"7";"7";7;7;"7";7;7;7;"7";7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;"5";NA;"5";NA;"5";NA;"Skälby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Man"
205;292;"01/13/2015 - 20:48";0;0;0;NA;13;5;10;6;9;10;8;6;4;8;5;10;7;7;10;10;4;5;8;12;8;4;10;7;5;6;8;9;12;12;9;8;13;6;"10";"10";12;12;"8";6;10;9;"5";9;6;10;8;8;7;9;6;5;4;4;5;11;10;11;8;10;"6";NA;"6";NA;"5";NA;"Norra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Man"
206;293;"01/13/2015 - 20:49";0;0;0;NA;13;9;5;7;11;7;7;7;7;14;7;13;7;7;7;14;14;10;14;14;12;8;14;9;3;13;7;9;14;13;7;9;9;9;"11";"11";12;12;"12";12;13;14;"10";0;8;11;14;9;12;11;7;1;7;14;8;12;8;12;11;6;"5";NA;"6";NA;"6";NA;"Odenslunda";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Man"
207;294;"01/13/2015 - 20:52";0;0;0;NA;5;8;9;9;7;8;9;10;4;10;8;9;9;10;10;7;7;7;7;7;9;6;9;5;9;6;10;8;14;11;10;10;8;8;"10";"8";14;10;"14";7;12;8;"10";5;10;14;10;14;5;14;12;4;8;8;7;14;6;11;13;14;"3";NA;"3";NA;"3";NA;"Dragonvägen";"Högskola/universitet";"Förvärvsarbetande (anställd)";"5-9 år";"25-34";"Man"
208;295;"01/13/2015 - 20:53";0;0;0;NA;10;8;9;10;9;8;8;9;4;11;11;10;10;10;11;5;11;6;11;10;8;10;5;8;10;9;4;10;13;13;10;12;10;9;"8";"9";12;9;"8";8;12;12;"12";3;9;11;11;11;14;14;5;9;9;10;9;11;8;11;11;11;"2";NA;"3";NA;"7";NA;"Vilunda/Korpkulla";"Högskola/universitet";"Förvärvsarbetande (anställd)";"5-9 år";"55-64";"Man"
209;296;"01/13/2015 - 20:54";0;0;0;NA;11;9;0;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;14;11;14;14;14;8;8;8;8;"8";"14";14;14;"14";10;7;7;"7";7;7;11;11;10;8;14;3;1;2;1;2;4;2;14;1;2;"7";NA;"6";NA;"4";NA;"Brunnby-Vik";"Annan eftergymnasial utbildning";"Förvärvsarbetande (anställd)";"0-4 år";"25-34";"Man"
210;297;"01/13/2015 - 20:55";0;0;0;NA;14;14;14;14;14;14;10;8;8;0;8;8;8;14;14;14;14;14;14;14;9;14;10;14;10;14;4;12;14;14;10;10;14;14;"14";"14";14;7;"7";7;14;14;"14";7;7;14;14;14;14;14;8;14;8;14;8;14;14;14;14;14;"10";NA;"8";NA;"7";NA;"Runby";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
211;298;"01/13/2015 - 21:01";0;0;0;NA;8;8;9;10;7;8;9;8;9;7;6;6;6;8;6;6;9;8;8;10;9;6;8;8;7;10;9;8;8;9;11;8;10;8;"9";"8";8;8;"8";10;8;9;"8";8;7;8;9;8;8;8;2;5;1;4;1;1;5;1;6;3;"4";NA;"6";NA;"5";NA;"Brunnby-Vik";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Man"
212;299;"01/13/2015 - 21:01";0;0;0;NA;7;13;5;5;14;9;5;11;4;11;7;7;7;7;7;3;3;3;4;6;9;0;5;0;1;8;9;9;12;10;12;9;12;7;"10";"9";11;8;"7";14;10;10;"8";7;7;8;8;8;6;9;1;1;2;1;1;3;3;3;3;1;"4";NA;"4";NA;"6";NA;"Södra Bollstanäs";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Kvinna"
213;300;"01/13/2015 - 21:02";0;0;0;NA;14;14;3;14;7;14;7;7;0;0;7;7;7;14;7;0;14;7;0;14;14;3;0;14;9;13;2;7;14;14;11;14;12;14;"14";"14";14;14;"14";4;10;7;"14";7;0;11;14;8;14;14;13;9;13;6;6;14;8;14;6;14;"10";NA;"6";NA;"3";NA;"Vilunda/Korpkulla";"Annan eftergymnasial utbildning";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
214;301;"01/13/2015 - 21:02";0;0;0;NA;8;9;9;8;7;9;9;7;5;10;6;9;9;9;10;9;10;10;7;7;8;8;8;8;6;9;9;6;11;8;9;9;9;7;"7";"8";9;9;"7";7;8;11;"5";7;7;9;8;9;9;10;0;0;0;0;0;0;0;0;0;0;"3";NA;"2";NA;"7";NA;"Odenslunda";"Högskola/universitet";"Egen företagare";"10 år eller mer";"45-54";"Man"
215;302;"01/13/2015 - 21:02";0;0;0;NA;7;7;7;7;7;7;5;6;0;14;7;7;7;7;7;4;12;14;9;14;7;7;7;7;7;12;6;9;12;7;8;8;9;10;"14";"14";8;8;"8";14;14;14;"8";7;7;7;11;7;14;7;5;4;4;9;6;14;13;14;11;8;"0";NA;"2";NA;"5";NA;"Carlslund/Brunnby Park";"Högskola/universitet";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"10 år eller mer";"35-44";"Kvinna"
